Content,ID of source revision,Named Entity,Reference,Markup,Position (MathToken)
"""0i""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,40
"""}""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,41
"""+""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,42
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,43
"""delta""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,44
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,45
"""lambda""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,46
"""_""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,47
"""i""",0,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,48
"""[""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,49
"""M""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,50
"""_""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,51
"""0""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,52
"""]""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,53
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,54
"""delta""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,55
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,56
"""mathbf""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,57
"""{""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,58
"""x""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,59
"""}""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,60
"""_""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,61
"""i""",0,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,62
"""+""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,63
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,64
"""delta""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,65
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,66
"""lambda""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,67
"""_""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,68
"""i""",0,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,69
"""[""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,70
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,71
"""delta""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,72
"""M""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,73
"""]""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,74
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,75
"""delta""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,76
"""\""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,77
"""mathbf""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,78
"""{""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,79
"""x""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,80
"""}""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,81
"""_""",121656077,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,82
"""i""",0,O,"+ \lambda_{0i}[\delta M]\delta\mathbf{x}_i + \delta\lambda_i[\delta
M]\mathbf{x}_{0i} + \delta\lambda_i[M_0]\delta\mathbf{x}_i +
\delta\lambda_i[\delta M]\delta\mathbf{x}_i",math,83
""".""",121656077,O,,text,/
"""Removing""",121656077,O,,text,/
"""the""",0,O,,text,/
"""higher""",121656077,O,,text,/
"""-""",121656077,O,,text,/
"""order""",121656077,O,,text,/
"""terms""",121656077,O,,text,/
""",""",121656077,O,,text,/
"""this""",0,O,,text,/
"""simplifies""",121656077,O,,text,/
"""to""",0,O,,text,/
"""[""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,0
"""K""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,1
"""_""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,2
"""0""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,3
"""]""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,4
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,5
"""delta""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,6
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,7
"""mathbf""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,8
"""{""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,9
"""x""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,10
"""}""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,11
"""_""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,12
"""i""",0,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,13
"""+""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,14
"""[""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,15
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,16
"""delta""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,17
"""K""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,18
"""]""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,19
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,20
"""mathbf""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,21
"""{""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,22
"""x""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,23
"""}""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,24
"""_""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,25
"""{""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,26
"""0i""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,27
"""}""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,28
"""=""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,29
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,30
"""lambda""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,31
"""_""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,32
"""{""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,33
"""0i""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,34
"""}""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,35
"""[""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,36
"""M""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,37
"""_""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,38
"""0""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,39
"""]""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,40
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,41
"""delta""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,42
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,43
"""mathbf""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,44
"""{""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,45
"""x""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,46
"""}""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,47
"""_""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,48
"""i""",0,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,49
"""+""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,50
"""\""",121656077,O,"[K_0] \delta\mathbf{x}_i+[\delta K] \mathbf{x}_{0i} = \lambda_{0i}[M_0] \delta
\mathbf{x}_i + \lambda_{0i}[\delta M]\mathrm{x}_{0i} + \delta \lambda_i
[M_0]\mathbf{x}_{0i}. \qquad(3)",math,51
